fund_id,security_key,pos_size
100034,L@001209@01@,0.0286219567
100034,L@001722@01@,0.0068048108
100034,L@001878@01@,0.0023263784
100034,L@002968@01@,0.0305314772
100034,L@003243@01@,0.0070812749
100034,L@003851@03@,0.0029866502
100034,L@004016@02@,0.0309951976
100034,L@006788@01@,0.0089424672
100034,L@008214@06@,0.0359004438
100034,L@008717@01@,0.0363219641
100034,L@009465@01@,0.0060653477
100034,L@011264@01@,0.0371864215
100034,L@011506@01@,0.0119733410
100034,L@011923@01@,0.0028146401
100034,L@012540@01@,0.0050797956
100034,L@012886@01@,0.0512324087
100034,L@013714@03@,0.0394372679
100034,L@014359@02@,0.0118175289
100034,L@015055@01@,0.0047216634
100034,L@015708@01@,0.0078592980
100034,L@017997@01@,0.0049458682
100034,L@018306@01@,0.0338207707
100034,L@019565@90@,0.0055824853
100034,L@020539@01@,0.0007248460
100034,L@026061@01@,0.0154212108
100034,L@029453@01@,0.0055305478
100034,L@029955@01@,0.0409867689
100034,L@029968@01@,0.0066397428
100034,L@030671@01@,0.0168122482
100034,L@060992@01@,0.0069729644
100034,L@065417@01@,0.0455149226
100034,L@100873@03@,0.0398721024
100034,L@105861@01@,0.0108070662
100034,L@108132@01@,0.0451154895
100034,L@118122@04@,0.0343232416
100034,L@119314@01@,0.0502207428
100034,L@126334@01@,0.0322401896
100034,L@162353@01@,0.0164492019
100034,L@162448@01@,0.0030524717
100034,L@170841@01@,0.0124078654
100034,L@174022@02@,0.0273875333
100034,L@175689@01@,0.0044298377
100034,L@176404@01@,0.0329066962
100034,L@177884@01@,0.0074306293
100034,L@183791@01@,0.0066582551
100034,L@184725@01@,0.0267268494
100034,L@185645@01@,0.0226074345
100034,L@186989@01@,0.0042511425
100034,L@294524@01@,0.0100429198
100034,S@003851@03@,0.0005738811
100034,S@105861@01@,0.0005790234
100034,S@108132@01@,0.0576976798
100034,S@126374@01@,0.0013431698
100034,S@174900@01@,0.0012238683
100153,L@001045@04@,0.0003382281
100153,L@001300@01@,0.0087816492
100153,L@001690@01@,0.0051215263
100153,L@001794@01@,0.0065635885
100153,L@001976@01@,0.0066430545
100153,L@002282@01@,0.0042263526
100153,L@002547@01@,0.0024136282
100153,L@002859@01@,0.0004641189
100153,L@003580@01@,0.0046054870
100153,L@003905@01@,0.0066669360
100153,L@004016@02@,0.0001505335
100153,L@004864@01@,0.0001788242
100153,L@005073@19@,0.0078995181
100153,L@005234@01@,0.0625669435
100153,L@005439@01@,0.0057770405
100153,L@005643@04@,0.0012229539
100153,L@005671@01@,0.0039648903
100153,L@005764@01@,0.0001615952
100153,L@006097@01@,0.0002505218
100153,L@006386@01@,0.0004858223
100153,L@007154@01@,0.0039656777
100153,L@007171@01@,0.0107510248
100153,L@007228@01@,0.0040158029
100153,L@007331@01@,0.0017819436
100153,L@007343@01@,0.0056207329
100153,L@007637@01@,0.0002706244
100153,L@007750@01@,0.0098550143
100153,L@007906@01@,0.0122111691
100153,L@007951@01@,0.0032807183
100153,L@007974@01@,0.0002064850
100153,L@008358@01@,0.0020655582
100153,L@008440@01@,0.0000889659
100153,L@008789@01@,0.0054584164
100153,L@008901@01@,0.0038837185
100153,L@009411@01@,0.0070304107
100153,L@009555@01@,0.0019728399
100153,L@009611@01@,0.0128329331
100153,L@010787@01@,0.0088556567
100153,L@010793@01@,0.0004925932
100153,L@011511@01@,0.0037675379
100153,L@012206@01@,0.0055774311
100153,L@012236@01@,0.0011293953
100153,L@012689@01@,0.0099026728
100153,L@012886@01@,0.0017966400
100153,L@013092@03@,0.0039260495
100153,L@013664@01@,0.0003873562
100153,L@013714@03@,0.0019569362
100153,L@013861@01@,0.0030094902
100153,L@014934@01@,0.0035423676
100153,L@015056@01@,0.0019184945
100153,L@015247@01@,0.0015120277
100153,L@015452@01@,0.0004188486
100153,L@015708@01@,0.0006661424
100153,L@016478@01@,0.0055202986
100153,L@016848@01@,0.0036972051
100153,L@017408@01@,0.0023131149
100153,L@017581@01@,0.0018611994
100153,L@017812@01@,0.0071230889
100153,L@017997@01@,0.0016827426
100153,L@018003@01@,0.0003493501
100153,L@018204@01@,0.0027114935
100153,L@018424@01@,0.0012486727
100153,L@018465@01@,0.0041336892
100153,L@018792@01@,0.0001782993
100153,L@019116@01@,0.0042939857
100153,L@019143@01@,0.0004891815
100153,L@019442@01@,0.0030225895
100153,L@019471@01@,0.0026768520
100153,L@019516@01@,0.0016424202
100153,L@019912@01@,0.0004078262
100153,L@020259@05@,0.0033002961
100153,L@020619@01@,0.0027083182
100153,L@021487@01@,0.0001213637
100153,L@022260@04@,0.0073980843
100153,L@023671@90@,0.0017856177
100153,L@023697@01@,0.0031870285
100153,L@023714@01@,0.0023813485
100153,L@023898@01@,0.0069330465
100153,L@024483@01@,0.0033074396
100153,L@025056@01@,0.0018436162
100153,L@025130@01@,0.0031104758
100153,L@025389@03@,0.0085167689
100153,L@026069@01@,0.0033851995
100153,L@027265@01@,0.0014108584
100153,L@027981@01@,0.0000890184
100153,L@027988@01@,0.0040861359
100153,L@028191@01@,0.0029182935
100153,L@028272@90@,0.0001950165
100153,L@028397@01@,0.0033374047
100153,L@029733@01@,0.0038120209
100153,L@029755@01@,0.0117337266
100153,L@029955@01@,0.0137027735
100153,L@030032@01@,0.0032165262
100153,L@030662@01@,0.0027240906
100153,L@060800@01@,0.0019005386
100153,L@060992@01@,0.0015503803
100153,L@061513@01@,0.0054812483
100153,L@061676@01@,0.0014773861
100153,L@062634@01@,0.0013829089
100153,L@062977@02@,0.0032371539
100153,L@064356@01@,0.0017055746
100153,L@065009@01@,0.0043685962
100153,L@065399@01@,0.0000684434
100153,L@107755@01@,0.0032456829
100153,L@110685@01@,0.0001267568
100153,L@120359@01@,0.0002115762
100153,L@121382@01@,0.0010738900
100153,L@122674@01@,0.0025229331
100153,L@126296@02@,0.0028937296
100153,L@133246@01@,0.0011586570
100153,L@140169@01@,0.0000500728
100153,L@141846@01@,0.0023713759
100153,L@142812@01@,0.0044037555
100153,L@145977@01@,0.0106223784
100153,L@148950@01@,0.0001919985
100153,L@150699@01@,0.0054591247
100153,L@151630@01@,0.0070007555
100153,L@157353@01@,0.0001191986
100153,L@157955@01@,0.0128640551
100153,L@160225@01@,0.0038562415
100153,L@160293@01@,0.0058200220
100153,L@160329@01@,0.0036825296
100153,L@160376@01@,0.0020470044
100153,L@160549@01@,0.0006962964
100153,L@160578@01@,0.0014974625
100153,L@162720@01@,0.0044209608
100153,L@162957@01@,0.0001994254
100153,L@163610@01@,0.0109063350
100153,L@163627@01@,0.0033303187
100153,L@163765@01@,0.0192032196
100153,L@163772@05@,0.0017694517
100153,L@163927@01@,0.0008182769
100153,L@163987@01@,0.0005222485
100153,L@164109@01@,0.0003395927
100153,L@164211@90@,0.0027880201
100153,L@165264@01@,0.0075657284
100153,L@165924@01@,0.0001664896
100153,L@170617@01@,0.0035318700
100153,L@170841@01@,0.0021952076
100153,L@171049@01@,0.0023545800
